Nombre,Descripción,Precio,Cantidad,Categoria,Carpeta de imagenes
Guantes de boxeo negros de medio dedo para adultos de calidad profesional,"Guantes de boxeo negros de medio dedo para adultos de calidad profesional: piel sintética duradera, cierre de presión, correa de muñeca ajustable y acolchado para mayor seguridad y comodidad. Ideales para entrenamientos y partidos.",6003.34,1,Deporte,Guantes de boxeo negros de medio dedo para adultos de calidad profesional
Manga refrescantes para brazos,"Manga refrescantes para brazos, transpirables, elásticas, de secado rápido para deportes y uso diario, tejido antihielo, ajuste elástico, accesorio de protección para actividades de verano y ciclismo.",1570,2,Deporte,Manga refrescantes para brazos
Masajeador de cuello de soporte cervical,"Masajeador de cuello de soporte cervical en forma de C: relajante ergonómico de cuello y hombros con masaje de puntos de presión, almohada quiropráctica ligera azul para alineación de la columna, soporte y alivio postural, masajeador de cuello y hombros, superficie texturizada, construcción duradera, relajación en casa.",10417.05,2,Salud,Masajeador de cuello de soporte cervical
Hombrera de compresión,"Hombrera de compresión transpirable con correas ajustables y diseño ergonómico. Soporte para el manguito rotador, miofascial y dislocación. Cabestrillo unisex para deportes y recuperación de lesiones. Diseño de correa segura y ajuste cómodo.",6320,6,Salud,Hombrera de compresión
Muñequera para el síndrome del túnel carpiano,"Muñequera para el síndrome del túnel carpiano adecuada tanto para hombres como para mujeres, soporte ajustable para mano derecha e izquierda, específicamente para mano derecha mediana.",6320,1,Salud,Muñequera para el síndrome del túnel carpiano
Guantes de boxeo premium,"Par de guantes de boxeo premium para hombres, mujeres y adolescentes. Ideales para karate, muay thai, MMA y sanda. Ajuste seguro y duradero con correas de muñeca ajustables.",12274.8,1,Deporte,Guantes de boxeo premium
Vendaje de compresión ajustable para tobillo,"Vendaje de compresión ajustable para hombres y mujeres, correa elástica para el tobillo, soporte para el tobillo para fútbol y gimnasio.",6320,1,Salud,Vendaje de compresión ajustable para tobillo
Codera ajustable,"Codera ajustable Manga de soporte transpirable para hombres y mujeres, ideal para tenis, golf, levantamiento de pesas y actividades diarias. Color negro con correas rojas y azules. Codera deportiva | Soporte deportivo para brazo | Codera de poliéster.",6400,1,Salud,Codera ajustable
Rodillera de compresión ajustable con funda antideslizante,"Rodillera de compresión ajustable con funda antideslizante, que proporciona calor y soporte para las piernas. Regalo perfecto para familiares y seres queridos.",6400,1,Salud,Rodillera de compresión ajustable con funda antideslizante
Muñequera de compresión ajustable de poliéster transpirable,"Muñequera de compresión ajustable de poliéster transpirable, 40 cm de longitud, ideal para baloncesto, levantamiento de pesas y recuperación de lesiones deportivas. Ajuste perfecto, color negro. Muñequeras para levantamiento de pesas.",1610,1,Salud,Muñequera de compresión ajustable de poliéster transpirable
Muñequera ergonómica negra de fibra,"Muñequera ergonómica negra de fibra de poliéster cómoda, ideal para lesiones deportivas y esguinces. Lavar solo a mano.",3068.5,1,Salud,Muñequera ergonómica negra de fibra
